Name|Age|Email|Job|Fav_Color
Lee Buchanan|28|rutrum.urna@ultricessitamet.org|Legal Department|violet
Charlotte Saunders|20|Aliquam.tincidunt.nunc@nisiMaurisnulla.com|Asset Management|violet
Quincy Jacobs|38|eros.Nam@lacusQuisquepurus.ca|Accounting|orange
Alyssa Carey|33|sagittis.felis.Donec@porttitor.edu|Finances|red
Zorita Morrison|20|tellus.lorem@NullamenimSed.net|Research and Development|indigo
Irene Watkins|34|arcu.eu.odio@aaliquet.edu|Customer Service|violet
Tasha Dickerson|18|eu@arcu.edu|Legal Department|blue
Colt Clark|20|ridiculus.mus@atsemmolestie.edu|Payroll|yellow
Nora Roth|31|enim.Etiam@malesuadafamesac.net|Research and Development|orange
Blaine Dunlap|38|interdum.feugiat.Sed@nunc.org|Customer Service|indigo
Elliott Pruitt|38|arcu@Utsemper.ca|Customer Relations|green
Nissim Murphy|23|et.arcu@velfaucibusid.edu|Public Relations|yellow
Elliott Moran|39|elit@Mauris.edu|Legal Department|yellow
Ariana Cash|30|rhoncus@orciPhasellus.com|Legal Department|yellow
Brenden Harrison|37|vel.faucibus.id@consectetueradipiscingelit.co.uk|Tech Support|green
Athena Barr|31|congue@blanditmattis.com|Asset Management|indigo
Skyler Huff|37|tincidunt.Donec.vitae@sitametdapibus.com|Asset Management|violet
Keely Kirk|18|elit.pede@faucibusMorbivehicula.ca|Research and Development|violet
Anastasia Ramirez|20|Curae.Phasellus@nequeIn.com|Public Relations|yellow
Zachary Hendrix|23|Cras.eu@amet.org|Human Resources|green
Adele Murray|26|litora.torquent.per@diamdictumsapien.org|Sales and Marketing|green
Whilemina Goff|19|nec.eleifend@porttitorvulputateposuere.org|Finances|yellow
Lysandra Lamb|28|Sed.neque.Sed@Cras.net|Human Resources|orange
James Callahan|31|imperdiet.nec@estNuncullamcorper.co.uk|Asset Management|violet
Hedda Francis|20|nonummy@risus.ca|Human Resources|indigo
Linus Mckee|25|non.sollicitudin@turpisnecmauris.edu|Finances|orange
Cairo Ferguson|27|est.tempor.bibendum@id.edu|Quality Assurance|indigo
Mark Baldwin|26|faucibus.ut@sit.edu|Media Relations|violet
Nigel Daugherty|31|eros.turpis@SuspendisseduiFusce.org|Human Resources|blue
Illana Keller|24|fringilla.cursus.purus@molestietortornibh.edu|Quality Assurance|indigo
Emma Gould|21|ornare.In.faucibus@elementumlorem.net|Customer Service|red
Jorden Garrett|33|pede.sagittis@Maurisut.org|Asset Management|orange
Rebecca Finley|30|Suspendisse@elementumat.ca|Asset Management|blue
Cailin Mann|34|Nam@vitaesodales.co.uk|Finances|yellow
Emma Byers|38|sem@sagittissemperNam.co.uk|Public Relations|blue
Kennan Morin|21|sem@erategettincidunt.edu|Research and Development|violet
Clark Michael|39|adipiscing.lobortis@mus.com|Legal Department|green
Joelle Kramer|21|Nullam.nisl@malesuadafames.ca|Public Relations|green
Caryn Herrera|18|magnis.dis@est.ca|Payroll|orange
Fletcher Alston|36|eu.euismod.ac@Phasellus.edu|Customer Service|blue
Jordan Puckett|27|Morbi.vehicula@Quisquepurussapien.com|Tech Support|violet
Cara Byrd|40|nulla@rutrummagna.net|Finances|indigo
Brooke Conway|31|orci.tincidunt@ultricesVivamusrhoncus.co.uk|Legal Department|yellow
Dean Trujillo|22|parturient.montes.nascetur@Nullafacilisis.org|Payroll|blue
Lydia Ellison|29|Curabitur.massa.Vestibulum@arcu.org|Finances|violet
Ross Shaw|35|eu@IntegerurnaVivamus.com|Human Resources|yellow
Chaney Huff|31|ridiculus.mus@elitpellentesque.edu|Advertising|orange
Alvin Lewis|19|sed.est.Nunc@indolorFusce.ca|Research and Development|red
Sonya Frederick|30|Lorem.ipsum@nislQuisquefringilla.edu|Payroll|orange
Imani Moses|35|eu.erat@pellentesqueSed.org|Customer Relations|red
Marvin Travis|39|viverra@elit.co.uk|Quality Assurance|green
Xandra Hunt|19|nisi.Mauris.nulla@Proin.ca|Advertising|orange
Mallory Spencer|32|Quisque.libero@cursusInteger.ca|Public Relations|red
Olivia Cherry|19|Integer@felis.edu|Finances|indigo
Ira Stein|21|egestas.ligula.Nullam@lacusvariuset.com|Finances|red
Scarlet Blevins|26|aliquet@habitant.com|Media Relations|yellow
Austin Benjamin|35|Etiam.vestibulum.massa@Integerin.edu|Research and Development|blue
